res_state,res_county,total_deaths,deaths_male,deaths_65p,pct_male,pct_65p,population,med_age,med_income,area_km2,lon,lat,Y,density
CO,BOULDER,108,26,108,24.0740740740741,100,330953,36.9,87476,1917.97693731814,-105.357736271572,40.0924692367791,32.6330324849752,172.553169728288
CO,DELTA,14,0,14,0,100,31056,47.7,47968,2974.66440967342,-107.863202501257,38.8613848493279,45.0798557444616,10.4401692839729
CO,DENVER,429,245,429,57.1095571095571,100,717620,34.6,72661,401.242925076294,-104.876100103353,39.7621268466888,59.7809425601293,1788.49259426456
CO,DOUGLAS,159,81,159,50.9433962264151,100,360327,39,121393,2183.05450136833,-104.929687330207,39.3295938642885,44.1265850186081,165.056346405529
CO,EL PASO,810,467,760,57.6543209876543,93.8271604938272,733804,34.4,71517,5516.26736894656,-104.525375841258,38.8319929621516,110.383699189429,133.025459231889
CO,FREMONT,27,27,27,100,100,48889,45.2,52364,3972.41354209385,-105.439577600246,38.4730860565307,55.2271472110291,12.3071275137761
CO,JEFFERSON,804,449,793,55.8457711442786,98.6318407960199,583169,40.2,87793,2004.74421823997,-105.250637151808,39.5858796745153,137.867410647685,290.894466582865
CO,LARIMER,215,103,215,47.9069767441861,100,359932,36.2,76366,6821.14717301293,-105.460759446599,40.6661301350463,59.7335052176522,52.7670772775625
CO,LOGAN,26,12,26,46.1538461538462,100,21209,38.9,49560,4778.44874260234,-103.110094905764,40.7245563232704,122.58946673582,4.43846970898962
CO,MESA,235,152,235,64.6808510638298,100,156011,40,57157,8653.72860063121,-108.467657896782,39.0181787434097,150.630404266366,18.0281826712962
CO,MONTROSE,24,11,24,45.8333333333333,100,42820,45.5,54611,5808.51240529266,-108.270119128631,38.4027034654944,56.0485754320411,7.37193914933931
CO,PUEBLO,221,131,221,59.2760180995475,100,168352,39.7,49979,6213.20335508777,-104.512664170407,38.1733399788286,131.272571754419,27.0958457946081
CO,WELD,264,159,264,60.2272727272727,100,331467,34.6,74332,10404.7345089921,-104.39365007573,40.5541667115692,79.6459376046484,31.8573241550312
DC,DISTRICT OF COLUMBIA,714,349,629,48.8795518207283,88.0952380952381,670917,34.1,90842,176.929718774407,-77.01627756257,38.9047175040689,106.42150966513,3791.9972102338
FL,ALACHUA,228,124,228,54.3859649122807,100,279765,31.7,50089,2509.29624314597,-82.3575969278212,29.6747568863468,81.4969706718138,111.491419462395
FL,BAY,415,282,359,67.9518072289157,86.5060240963856,174543,40.6,56483,2285.56145064695,-85.6201512390315,30.265184520398,237.763760219545,76.3676688502923
FL,BREVARD,1610,934,1452,58.0124223602485,90.1863354037267,608792,47.2,59359,3353.77680564372,-80.7320224225226,28.29313264433,264.458140054403,181.524303876014
FL,BROWARD,4771,2694,4048,56.4661496541606,84.8459442464892,1943497,40.5,60922,3173.63507483728,-80.4871499187124,26.1525138558807,245.485328765622,612.388303686633
FL,CHARLOTTE,360,228,360,63.3333333333333,100,188017,59.5,52724,1934.09662654496,-81.9122399998937,26.9056753280966,191.472047740364,97.2117925337944
FL,CITRUS,594,351,563,59.0909090909091,94.7811447811448,154569,56.7,45689,1710.21067220822,-82.4793238452235,28.8489269218435,384.294392795451,90.3800932316842
FL,CLAY,443,255,387,57.5620767494357,87.3589164785553,218956,39.8,68657,1666.76649345488,-81.8578926736072,29.9830142710451,202.323754544292,131.365731708553
FL,COLLIER,396,251,381,63.3838383838384,96.2121212121212,377331,51.3,70217,5449.06273570919,-81.3473555422627,26.1108327932102,104.94764543597,69.2469546234524
FL,COLUMBIA,94,73,94,77.6595744680851,100,69760,40.6,44818,2075.45663954786,-82.6216794526205,30.2239294271732,134.747706422018,33.6118802343166
FL,DESOTO,13,13,13,100,100,34089,40.7,36360,1654.61375694532,-81.8095119902799,27.1864182438644,38.1354689195928,20.6023912571196
FL,DUVAL,2527,1399,2031,55.3620894341116,80.3719825880491,997826,36.3,56769,2200.24387993777,-81.6708863159549,30.3315841286111,253.250566732076,453.506999427819
FL,ESCAMBIA,670,384,620,57.3134328358209,92.5373134328358,322612,37.3,53023,1932.4131189477,-87.3624846806582,30.6685636720161,207.679813522126,166.947738470995
FL,FLAGLER,89,60,89,67.4157303370787,100,116032,51.8,57536,1314.19449452375,-81.313527714817,29.4613791431205,76.7029784886928,88.2913453704951
FL,HERNANDO,653,372,622,56.9678407350689,95.2526799387443,195629,48.8,50280,1291.15316798652,-82.425003980442,28.5537026173398,333.795091729754,151.514944044224
FL,HIGHLANDS,235,142,235,60.4255319148936,100,101340,54.1,43708,2865.55216610363,-81.3410284077134,27.3432061969427,231.892638642195,35.3649119352082
FL,HILLSBOROUGH,2683,1475,2428,54.9757733879985,90.4957137532613,1466320,37.4,60566,2808.74077705973,-82.3090902787888,27.9290076939463,182.975066833979,522.056008862088
FL,INDIAN RIVER,339,188,328,55.4572271386431,96.7551622418879,160452,54,57945,1399.34463638743,-80.6062003739355,27.694369117344,211.2781392566,114.662246760187
FL,JACKSON,23,0,23,0,100,47106,42.2,40754,2472.42330495301,-85.2154144440824,30.7954286240844,48.8260518829873,19.0525626844046
FL,LAKE,981,610,916,62.1814475025484,93.3741080530071,386238,47,55792,2995.69023587752,-81.7116624778683,28.7612732879668,253.988473428301,128.93122105025
FL,LEE,1648,1046,1506,63.4708737864078,91.3834951456311,765566,48.8,59608,2301.6887432347,-81.8336849481411,26.5778211147208,215.265568220114,332.610567892904
FL,LEON,236,99,224,41.9491525423729,94.9152542372881,293961,31.3,54675,1817.59185430383,-84.278085242057,30.4580611169829,80.2827585972289,161.731028505623
FL,MANATEE,758,449,708,59.2348284960422,93.4036939313984,401644,48.8,59963,2060.83859575746,-82.3152119306645,27.4719767039242,188.724342950474,194.893477260588
FL,MARION,1614,1005,1464,62.2676579925651,90.7063197026022,377464,48.7,46587,4306.33625616319,-82.0566558004074,29.2102800802239,427.590445711379,87.6531644410667
FL,MARTIN,209,90,209,43.0622009569378,100,158669,52.7,65821,1756.7715325805,-80.4315383706555,27.0776599949388,131.720752005748,90.3185172672583
FL,MIAMI-DADE,10809,5925,9105,54.8154315847905,84.2353594227033,2695729,40.2,53975,5230.36815932215,-80.5625115022158,25.6148144965622,400.967604681331,515.399474355428
FL,NASSAU,102,75,102,73.5294117647059,100,91036,45.8,72998,1735.43562067228,-81.8017230914695,30.6106241329181,112.043587152335,52.4571461571902
FL,OKALOOSA,280,162,269,57.8571428571429,96.0714285714286,212097,36.9,64373,2576.35033133492,-86.5917278412315,30.6910673223201,132.015068577113,82.3245959295076
FL,OKEECHOBEE,11,11,11,100,100,39656,40.9,46097,2308.82119425177,-80.8884552151571,27.3863615857896,27.7385515432721,17.1758645055454
FL,ORANGE,1742,983,1540,56.4293915040184,88.4041331802526,1431720,35.3,61416,2597.90899647429,-81.3233315315555,28.5145633358253,121.671835275054,551.104754609585
FL,OSCEOLA,347,227,347,65.4178674351585,100,391163,36,55538,3901.15736189639,-81.149165253042,28.0625636741007,88.7098217367185,100.26844951721
FL,PALM BEACH,4700,2724,4402,57.9574468085106,93.6595744680851,1494276,45,65015,5766.26215906706,-80.4655084809015,26.6476851822809,314.533593526229,259.141183452846
FL,PASCO,1506,910,1345,60.4249667994688,89.3094289508632,566182,44.5,53431,1992.01638436618,-82.3932704160347,28.3092282801578,265.992207452727,284.225573867531
FL,PINELLAS,3033,1718,2882,56.6435872073854,95.0214309264754,959839,48.4,56419,850.475664792052,-82.7255748155587,27.9194739303778,315.990494239138,1128.59078717401
FL,POLK,2262,1273,1927,56.2776304155615,85.1900972590628,730179,40.2,51535,5207.05678413259,-81.6972650395544,27.9488402896947,309.787052215964,140.228737705544
FL,PUTNAM,113,76,86,67.2566371681416,76.1061946902655,73386,45,40068,2141.6684275776,-81.744214199476,29.6086271953027,153.980323222413,34.2658084020062
FL,SANTA ROSA,326,198,294,60.7361963190184,90.1840490797546,189022,40,70663,2974.06258875562,-87.0219346845927,30.7002406900453,172.466696998233,63.5568332403821
FL,SARASOTA,1343,794,1314,59.1213700670142,97.8406552494415,436256,56.6,64644,1568.40143327969,-82.3313549961625,27.1844506874563,307.846768869655,278.153278072275
FL,SEMINOLE,511,259,481,50.6849315068493,94.1291585127202,471472,39.3,70297,894.427494874819,-81.236286568132,28.7170077375654,108.383954932637,527.121541658316
FL,ST. JOHNS,257,163,233,63.4241245136187,90.6614785992218,277105,43.7,83803,1744.21767352764,-81.4405464870452,29.9014847165213,92.7446274877754,158.870652559988
FL,ST. LUCIE,515,284,515,55.1456310679612,100,331461,45.5,55237,1583.80417475322,-80.4720009327413,27.3772613068912,155.37272861664,209.281554679351
FL,SUMTER,313,188,313,60.0638977635783,100,130303,68,59618,1502.08918556814,-82.0808697598746,28.7045658023046,240.209358188223,86.7478451026293
FL,SUWANNEE,54,36,54,66.6666666666667,100,43530,43.5,46280,1792.91418935319,-82.9913689141862,30.1955310760527,124.052377670572,24.2789087500634
FL,VOLUSIA,1395,877,1256,62.8673835125448,90.0358422939068,555752,46.5,52407,3279.3063646833,-81.1815008466673,29.0583714145276,251.011242424679,169.472424408164
FL,WALTON,25,12,25,48,100,75891,44.1,67390,2973.05722268408,-86.1695438123656,30.6433492111271,32.9419825802796,25.5262493506551
GA,BARROW,11,0,11,0,100,84006,36,62990,421.916246437172,-83.7127066129545,33.9931949701666,13.0943027878961,199.10586688562
GA,BIBB,25,13,13,52,52,157038,36.3,41317,660.165441962657,-83.6973869400607,32.8064937218795,15.9197136998688,237.876735160704
GA,CHATHAM,13,0,13,0,100,295076,35.9,57739,1277.03341327796,-81.1327434966236,32.0041606826288,4.40564464748065,231.06364871267
GA,CHEROKEE,43,29,43,67.4418604651163,100,268169,39,84817,1125.1302905547,-84.4762282607949,34.2439218459637,16.034664707703,238.344840816426
GA,COBB,40,29,40,72.5,100,766383,36.8,80830,892.372340665995,-84.5767034646532,33.9414428552303,5.21932245365568,858.815278192098
GA,COFFEE,13,0,0,0,0,43058,36.9,42526,1560.35248114868,-82.8491309923891,31.5492661275271,30.1918342700543,27.5950469654793
GA,FORSYTH,26,26,26,100,100,252911,38.8,112834,639.993200689785,-84.1250640907615,34.2255188617107,10.2802962306898,395.177635836462
GA,FULTON,14,0,14,0,100,1069333,35.7,72741,1384.04652447191,-84.4676259959976,33.7899573260564,1.30922734078159,772.613478732594
GA,GWINNETT,94,63,94,67.0212765957447,100,958378,35.5,72787,1131.24920890466,-84.0236265522201,33.9616838989558,9.80823850297064,847.185564821703
GA,HALL,127,60,127,47.244094488189,100,203409,37.2,63651,1111.909358012,-83.819756036611,34.3168181257669,62.4357820942043,182.936674230063
GA,MUSCOGEE,11,0,11,0,100,207015,34.4,47418,572.529047795009,-84.8770534406909,32.5100291130154,5.31362461657368,361.579907250611
GA,TROUP,15,0,15,0,100,69348,36.7,46796,1154.97484368236,-85.0283891719102,33.0335002756937,21.6300397992732,60.0428661968954
IA,BLACK HAWK,27,14,27,51.8518518518519,100,131049,35.4,54774,1483.08051496232,-92.3087999335805,42.4700018467931,20.6029805645217,88.3627009308589
IA,DALLAS,24,12,24,50,100,100544,35.4,88368,1532.2466727316,-94.0397406293674,41.684771356529,23.8701464035646,65.6186773248173
IA,LINN,57,19,57,33.3333333333333,100,230433,37.7,67301,1876.96766530372,-91.5990254009973,42.0787784667419,24.7360404108787,122.768763820293
IA,MUSCATINE,29,12,29,41.3793103448276,100,43155,38.2,60435,1163.34304431713,-91.1128064571284,41.4839442008529,67.1996292434249,37.0956788806275
IA,POLK,143,66,143,46.1538461538462,100,493039,35.7,69747,1532.0879284626,-93.573495739961,41.6854043958935,29.0037907751719,321.808553439063
IA,POTTAWATTAMIE,11,0,11,0,100,93655,39.6,59901,2483.61311853148,-95.5422544517239,41.336665456978,11.7452351716406,37.7091743078634
IA,SCOTT,15,0,15,0,100,174617,38.4,63876,1212.58320168428,-90.6232503447882,41.6370827317431,8.59022890096611,144.004139062339
IA,WAPELLO,30,0,30,0,100,35327,39.6,46433,1129.2727402131,-92.4094654727974,41.0305644733247,84.9208820448948,31.2829653475331
ID,ADA,626,368,584,58.7859424920128,93.2907348242811,498301,37.2,69952,2746.98129372953,-116.240899201832,43.4506079648507,125.626880138711,181.399487916958
